Asset Planner ID,,,Screener and Approver,,,,,,,,,Asset Planner Data,,,,,,,,,,,,,,,Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seismic Data,,,,,,,,,Outputs from FEMA and SQST Sheets,,2013 Seismic Screening Data,,,,,,,
ID,Facility/Asset,Address,Review Phase,Approver,Screener,Drawings,Desktop Review Date,Site Visit,Site Review Date,Ready for Approval?,Approved?,Building Name,Development Category Indicator,Custom: CoV Ownership Status,SAP Building Number,Date Built,Year Built,NBC Code Year (Original Building),Current Replacement Value (June 2026),Gross Size (sq.ft.) - from Asset Planner - June 2026,CRV/sq.ft.,Floors Above Grade,Floors Below Grade,Building: General Summary,Building: Architectural Summary,Building: Heritage,Year(s) of Major Renovation(s),Description of Major Renovation,Building: Main Superstructure Material,Vertical Load Bearing System,Roof System,Floor System,Seismic Force Resisting System in the North-South Direction,Seismic Force Resisting System in the East-West Direction,Number of LDRS Bays in North-South Direction,Number of LDRS Bays in East-West Direction,Seismic Upgrade Year,Description of Seismic Upgrade,Seismic Upgrading Case,Building Height (Total Height Above Ground (m) to Roof Slab),"""Original"" Building Importance Factor Ie",Building Importance Factor Ie - Based on VBBL 2025 - Upgraded,Occupancy Type,Service Group,Replacement Cost (June 2026 $$),At-risk Population: Y/N?,Site Class,Basement,Basement Floor Plan Area (sq.m.),Ground Floor Plan Area (sq.m.),Roof Plan Area (sq.m.),Geological Hazards,Significant Alterations or Deviations,Material Conditions,Sesimic Isolation / Energy Dissipation Systems,Separation / Distance from Adjacent Structures (mm),Pounding Type Input,Pounding Type,Vertical Irregularity Input,Vertical Irregularity Description,Plan Irregularity Input,Plan Irregularity Description,Building Irregularity,Falling Hazards (Y/N),Exterior Non-structural Components - Restrained (Y/N),Interior Non-structural Components - Restrained (Y/N),URM (Y/N),FEMA P154 Special Cases,Remaining Occupancy Time,Category Functionality Class,Gross Area (including basement) (sq.m.),Seismic Weight (kN),Snow Load and Roof Weight (kN),Floor Weight - Above Grade (kN),LDRS Weight North-South Direction (kN),LDRS Weight East-West Direction (kN),Content Weight Based on Occupancy Type (kN),FEMA P154 RVS Level 2 Screening S-Score,SEG Level 2 - SQST S-Score,Building: Collapse Likelihood,Building: Post Disaster Importance,Building: Occupancy,Building: Seismic Screening Data,Building: Seismic S Score,Building: Seismic Risk,Longitude,Latitude
12,CULT_1064_601 Smithe St_Orpheum Theatre,601 Smithe St,Phase 1,Kate Thibert (Ausenco),Pavan Dhillon,Partial,19-Sep-25,Adequate,19-Sep-25,Yes,Yes,Orpheum Theatre,1 - Full Investment,City Owned,1064,1927-01,1927,Pre-code,"$35,812,004","97,100",369,5,1,The Orpheum Theatre is understood to have been constructed circa 1927 with an addition portion which was constructed circa 1974. The building is largely provided with systems and components originating from the initial building construction.,"The five-storey building with one level of basement appears to be constructed on spread footings. Where exposed the superstructure appears to be of cast-in-place reinforced concrete construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of brick and stucco on the building elevations. The building windows are typically a combination of wood framed with single glass units and metal framed with insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in aluminum frames. The service doors are hollow metal doors in metal frames. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in poor condition. Active leaking was observed at exterior walls, exterior windows and roof. Building envelope study and repair is recommended for this building.

The interior finishes in the building include ceramic floor tiles, vinyl sheet floor, painted concrete floor, hardwood floor, carpet floor, carpet floor tiles, vinyl tiles, painted wall assemblies, ceramic wall tiles, wood wall panels, heritage style wall finish, acoustical panel, mirror wall finish, painted ceiling assemblies, suspended acoustic tile ceiling assemblies, exposed concrete ceiling and heritage woodwork ceiling. The interior finishes appear to be in good condition overall, with the exception of  painted concrete floor which is in poor condition.",A (F)(M),1985,Additions with interior alterations,"Concrete foundation, reinforced concrete frame reinforced concrete & brick masonry walls w/concrete","Infill, Concrete, Steel",,,CIW,CIW,1,1,N/A,N/A,,,1,1,Public Assembly,Entertainment (Theatres etc.)," $153,099,247.70 ",N,C,"Full Basement, Fully Below Grade",1000,1000,1000,,,Moderate Deterioration,,0,"2, 3, 4","Type 2, 
Type 3, 
Type 4",6,Split Level,,,Irregular,Y,N,N,Y,,99,Cat F - Leisure,6000,#N/A,#N/A,#N/A,0,0,5000,0.3,0.3,8%,High Occupancy-A,1000+,,1.1000000000000001,High,-123.1205258,49.28006263
13,CULT_8809_843 Seymour St_VSO Music School / Recital (Pyatt) Hall,843 Seymour St,,,,,,,,,,VSO Music School / Recital (Pyatt) Hall,1 - Full Investment,City Owned,8809,2011-01,2011,2010,"$8,923,496","24,195",369,4,0,"The VSO Music School (Air Space Parcel) is an approximately 25,000 sq.ft., four storey building constructed circa 2011. The building is primarily used as a musical school.","The four-storey building with a underground Parking Garage appears to be constructed on concrete reinforced foundation walls and footings. Where exposed, the superstructure consists of cast-in place reinforced columns, beams, and suspended floor and roof slabs. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of Curtain wall assemblies on the building elevations. The building windows are typically of metal framed insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in metal frames. The service doors are hollow metal doors in metal frames. Overall, the building envelope components appear to be in good condition.

The interior finishes in the building include ceramic floor tiles, vinyl sheet flooring, painted concrete floor, carpet flooring, hardwood flooring, painted wall assemblies, ceramic wall tiles, wood wall panels, acoustical wall panels, painted ceiling assemblies, and suspended acoustic tile ceiling assemblies. The interior finishes appear to be in good condition overall.",,2011,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,High Occupancy,Unknown,,10,Pre-Screen Low,-123.1197076,49.28033455
14,CULT_8809_823 Seymour St_Orpheum Rehearsal Hall (Annex),823 Seymour St,,,,,,,,,,Orpheum Rehearsal Hall (Annex),1 - Full Investment,City Owned,8809,2011-01,2011,2010,"$5,327,912","14,446",369,4,0,"The Orpheum Rehearsal Hall -Annex (Air Space Parcel) is an approximately 15,000 sq.ft. a four storey building constructed circa 2011. The building is largely provided with systems and components originating from the initial building construction.","The four-storey building with a underground Parking Garage appears to be constructed on concrete reinforced foundation walls and footings. Where exposed, the superstructure consists of cast-in place reinforced columns, beams, and suspended floor and roof slabs. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of Curtain wall assemblies on the building elevations. The building windows are typically of metal framed insulated glass units (IGUs). The exterior entrance doors are typically glass doors set in metal frames. The service doors are hollow metal doors in metal frames. Overall, the building envelope components appear to be in good condition.

The interior finishes in the building include ceramic floor tiles, vinyl sheet flooring, carpet flooring, painted wall assemblies, ceramic wall tiles, wood wall panels, acoustical wall and ceiling panels, painted ceiling assemblies, and suspended acoustic tile ceiling assemblies. The interior finishes appear to be in good condition overall.",,2011,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1194338,49.28055069
15,CULT_1001_578 Carrall St_Sun Yat-Sen Classical Chinese Garden - Main Building,578 Carrall St,,,,,,,,,,Sun Yat-Sen Classical Chinese Garden - Main Building,9 - CoV Not Responsible,City Owned,1001,1985-01,1985,1985,"$9,990,814","5,500","1,817",1,0,"BCA REPORT NOTES: 

•	The attached report is not a capital plan but a tool to assist in developing one.

•	Actions noted on the report are based on repair or renewal needs identified in an on-site visual component review. This is not a detailed facility condition assessment (not invasive testing or detailed review of existing drawings have been done as part of this assessment)

•	This is also not a code compliance review or hazardous materials survey.  Values for hazardous materials abatement, seismic retrofit, buildings upgrades or renovations are not included.  

•	It is expected that if needs occur on critical components before the date on which the report is indicating that they will be addressed and not deferred.   Alternately if needs are not present on the date indicated the component will be monitored on an appropriate schedule and the work will be deferred.

•	Component Replacement Values and Action Costs are based on RS Means average for building type and location values are for hard costs only. 

•	Overall project scope and detailed budget remains to be fully developed. 

•	These values do not constitute requested project budgets for the facility.",,(M),,,Wood frame,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,2%,,11-100,,1.7,Medium,-123.1041166,49.2797996
17,ENEX_7315_2901 E Hastings St_PNE - Livestock Building,2901 E Hastings St,Phase 1,,,,,,,,,PNE - Livestock Building,2 - Moderate Investment,City Owned,7315,1930-01,1930,Pre-code,"$25,980,406","133,000",195,1,0,"The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- Approximately 45  exterior windows replaced circa 2012
- Modified bitumen flat roof replaced circa 2012
- Some part of foundation and building structure was upgraded circa 2012","The exterior walls of the building are mainly painted concrete and stucco. The windows are typically single glass units with combination of wood and metal frames. Exterior access doors are combination of metal and wood construction, wood sliding doors and metal overhead doors. The roof elevations are covered with modified bitumen membrane. The interior finishes throughout the building include vinyl sheets flooring, ceramic tiles flooring, exposed concrete flooring, wood wall panels, painted drywall finishes, painted ceiling assemblies, adhered acoustical ceiling tiles, suspended acoustical ceiling tiles.",A,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,0.3%,High Occupancy-A,1000+,,2.6,Low,-123.0397837,49.28422741
18,ENEX_1825_2901 E Hastings St_PNE - Playland Building (Games),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Playland Building (Games),9 - CoV Not Responsible,City Owned,1825,1955-01,1955,1953,"$4,892,254","27,000",181,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,15%,High Occupancy,101-1000,,0.5,High,-123.0356467,49.28258501
19,ENEX_1825_2901 E Hastings St_PNE - Playland Building (Arcades),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Playland Building (Arcades),9 - CoV Not Responsible,City Owned,1825,1955-01,1955,1953,"$2,355,530","13,000",181,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy,101-1000,,0.7,High,-123.0361509,49.28278398
20,ENEX_7313_2901 E Hastings St_PNE - Rollerland,2901 E Hastings St,Phase 1,,,,,,,,,PNE - Rollerland,2 - Moderate Investment,City Owned,7313,1930-01,1930,Pre-code,"$4,102,169","21,000",195,1,0,"Rollerland building is understood to have been constructed circa 1930. An addition was constructed circa 1980 along the north portion of the building. The Building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- Washrooms which are located in the 1980 Addition","The exterior walls of the building are mainly concrete and EIFS. The windows have been covered with plywood. Exterior access doors are combination of metal and wood construction and wood sliding door. The slope roof is covered with asphalt shingles and flat roofs are covered with modified bitumen membrane. The interior finishes throughout the building include vinyl sheets flooring, painted concrete flooring, painted drywall finishes, painted ceiling assemblies, suspended acoustical ceiling tiles.",B,,,Concrete Structure,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy-A,1000+,,0.2,High,-123.0429557,49.28494031
21,ENEX_1825_2901 E Hastings St_PNE - Playland Building (Back of House),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Playland Building (Back of House),9 - CoV Not Responsible,City Owned,1825,1955-01,1955,1953,"$1,993,141","11,000",181,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,13%,High Occupancy,101-1000,,-0.6,High,-123.0366686,49.28349802
22,ENEX_1825_2901 E Hastings St_PNE - Playland Building (Admin / Retail),2901 E Hastings St,Phase 1,,,,,,,,,PNE - Playland Building (Admin / Retail),9 - CoV Not Responsible,City Owned,1825,1955-01,1955,1953,"$1,705,774","5,000",341,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,,,,Pre-Screen Low,-123.0353667,49.28329615
